prefix,first_revision,last_revision,first_effective_date,removed_at,end_effective_date
27160000,rev_7,2026_rev_9,NA,NA,NA
28012000,rev_7,2026_rev_9,NA,NA,NA
28042900,rev_7,2026_rev_9,NA,NA,NA
28045000,rev_7,2026_rev_9,NA,NA,NA
28046100,rev_7,2026_rev_9,NA,NA,NA
28048000,rev_7,2026_rev_9,NA,NA,NA
28049000,rev_7,2026_rev_9,NA,NA,NA
28051910,rev_7,2026_rev_9,NA,NA,NA
28051920,rev_7,2026_rev_9,NA,NA,NA
28051990,rev_7,2026_rev_9,NA,NA,NA
28053000,rev_7,2026_rev_9,NA,NA,NA
28111100,rev_7,2026_rev_9,NA,NA,NA
28111910,rev_7,2026_rev_9,NA,NA,NA
28112910,rev_7,2026_rev_9,NA,NA,NA
28112920,rev_7,2026_rev_9,NA,NA,NA
28121900,rev_7,2026_rev_9,NA,NA,NA
28139010,rev_7,2026_rev_9,NA,NA,NA
28152000,rev_7,2026_rev_9,NA,NA,NA
28161000,rev_7,2026_rev_9,NA,NA,NA
28164010,rev_7,2026_rev_9,NA,NA,NA
28164020,rev_7,2026_rev_9,NA,NA,NA
28170000,rev_7,2026_rev_9,NA,NA,NA
28181010,rev_7,2026_rev_9,NA,NA,NA
28181020,rev_7,2026_rev_9,NA,NA,NA
28182000,rev_7,2026_rev_9,NA,NA,NA
28183000,rev_7,rev_21,NA,rev_22,2025-09-07
28201000,rev_7,2026_rev_9,NA,NA,NA
28211000,rev_7,2026_rev_9,NA,NA,NA
28212000,rev_7,2026_rev_9,NA,NA,NA
28220000,rev_7,2026_rev_9,NA,NA,NA
28230000,rev_7,2026_rev_9,NA,NA,NA
28252000,rev_7,2026_rev_9,NA,NA,NA
28254000,rev_22,2026_rev_9,2025-09-08,NA,NA
28255030,rev_7,2026_rev_9,NA,NA,NA
28256000,rev_7,2026_rev_9,NA,NA,NA
28258000,rev_7,2026_rev_9,NA,NA,NA
28259015,rev_7,2026_rev_9,NA,NA,NA
28259030,rev_7,2026_rev_9,NA,NA,NA
28259090,rev_7,2026_rev_9,NA,NA,NA
28261200,rev_7,2026_rev_9,NA,NA,NA
28263000,rev_7,2026_rev_9,NA,NA,NA
28269090,rev_7,2026_rev_9,NA,NA,NA
28273100,rev_7,2026_rev_9,NA,NA,NA
28273945,rev_7,2026_rev_9,NA,NA,NA
28273960,rev_7,2026_rev_9,NA,NA,NA
28273990,rev_7,2026_rev_9,NA,NA,NA
28274100,rev_7,2026_rev_9,NA,NA,NA
28274950,rev_7,2026_rev_9,NA,NA,NA
28275951,rev_7,2026_rev_9,NA,NA,NA
28276010,rev_7,2026_rev_9,NA,NA,NA
28276051,rev_7,2026_rev_9,NA,NA,NA
28332100,rev_7,2026_rev_9,NA,NA,NA
28332400,rev_22,2026_rev_9,2025-09-08,NA,NA
28332500,rev_7,2026_rev_9,NA,NA,NA
28332700,rev_7,2026_rev_9,NA,NA,NA
28332910,rev_7,2026_rev_9,NA,NA,NA
28332945,rev_7,2026_rev_9,NA,NA,NA
28332951,rev_7,2026_rev_9,NA,NA,NA
28342100,rev_7,2026_rev_9,NA,NA,NA
28342920,rev_7,2026_rev_9,NA,NA,NA
28342951,rev_7,2026_rev_9,NA,NA,NA
28366000,rev_7,2026_rev_9,NA,NA,NA
28369100,rev_7,2026_rev_9,NA,NA,NA
28369200,rev_7,2026_rev_9,NA,NA,NA
28369910,rev_7,2026_rev_9,NA,NA,NA
28369950,rev_7,2026_rev_9,NA,NA,NA
28418000,rev_7,2026_rev_9,NA,NA,NA
28419020,rev_7,2026_rev_9,NA,NA,NA
28419040,rev_7,2026_rev_9,NA,NA,NA
28432901,rev_7,2026_rev_9,NA,NA,NA
28433000,rev_7,2026_rev_9,NA,NA,NA
28439000,rev_7,2026_rev_9,NA,NA,NA
28441010,rev_7,2026_rev_9,NA,NA,NA
28441020,rev_7,2026_rev_9,NA,NA,NA
28442000,rev_7,2026_rev_9,NA,NA,NA
28443020,rev_7,2026_rev_9,NA,NA,NA
28443050,rev_7,2026_rev_9,NA,NA,NA
28444300,rev_7,2026_rev_9,NA,NA,NA
28459001,rev_7,2026_rev_9,NA,NA,NA
28461000,rev_7,2026_rev_9,NA,NA,NA
28469020,rev_7,2026_rev_9,NA,NA,NA
28469040,rev_7,2026_rev_9,NA,NA,NA
28469080,rev_7,2026_rev_9,NA,NA,NA
28492010,rev_7,2026_rev_9,NA,NA,NA
28492020,rev_7,2026_rev_9,NA,NA,NA
28499030,rev_7,2026_rev_9,NA,NA,NA
28539010,rev_7,2026_rev_9,NA,NA,NA
28539090,rev_7,2026_rev_9,NA,NA,NA
29034510,rev_7,2026_rev_9,NA,NA,NA
29035110,rev_22,2026_rev_9,2025-09-08,NA,NA
29035990,rev_7,2026_rev_9,NA,NA,NA
29036990,rev_7,2026_rev_9,NA,NA,NA
29037800,rev_7,2026_rev_9,NA,NA,NA
29037990,rev_7,2026_rev_9,NA,NA,NA
29038915,rev_7,2026_rev_9,NA,NA,NA
29038920,rev_7,2026_rev_9,NA,NA,NA
29038970,rev_7,2026_rev_9,NA,NA,NA
29039200,rev_7,2026_rev_9,NA,NA,NA
29049940,rev_7,2026_rev_9,NA,NA,NA
29052990,rev_7,2026_rev_9,NA,NA,NA
29053990,rev_7,2026_rev_9,NA,NA,NA
29055910,rev_7,2026_rev_9,NA,NA,NA
29055990,rev_7,2026_rev_9,NA,NA,NA
29061950,rev_7,2026_rev_9,NA,NA,NA
29062960,rev_7,2026_rev_9,NA,NA,NA
29072990,rev_7,2026_rev_9,NA,NA,NA
29081960,rev_7,2026_rev_9,NA,NA,NA
29091918,rev_7,2026_rev_9,NA,NA,NA
29092000,rev_7,2026_rev_9,NA,NA,NA
29093060,rev_7,2026_rev_9,NA,NA,NA
29094910,rev_7,2026_rev_9,NA,NA,NA
29094915,rev_7,2026_rev_9,NA,NA,NA
29094920,rev_7,2026_rev_9,NA,NA,NA
29094960,rev_7,2026_rev_9,NA,NA,NA
29095040,rev_7,2026_rev_9,NA,NA,NA
29095045,rev_7,2026_rev_9,NA,NA,NA
29095050,rev_7,2026_rev_9,NA,NA,NA
29121950,rev_7,2026_rev_9,NA,NA,NA
29124926,rev_7,2026_rev_9,NA,NA,NA
29141900,rev_7,2026_rev_9,NA,NA,NA
29144090,rev_7,2026_rev_9,NA,NA,NA
29145030,rev_7,2026_rev_9,NA,NA,NA
29145050,rev_7,2026_rev_9,NA,NA,NA
29146200,rev_7,2026_rev_9,NA,NA,NA
29146921,rev_7,2026_rev_9,NA,NA,NA
29146990,rev_7,2026_rev_9,NA,NA,NA
29147940,rev_7,2026_rev_9,NA,NA,NA
29152930,rev_7,2026_rev_9,NA,NA,NA
29153931,rev_7,2026_rev_9,NA,NA,NA
29153935,rev_7,2026_rev_9,NA,NA,NA
29153947,rev_7,2026_rev_9,NA,NA,NA
29153990,rev_7,2026_rev_9,NA,NA,NA
29159010,rev_7,2026_rev_9,NA,NA,NA
29159014,rev_7,2026_rev_9,NA,NA,NA
29159018,rev_7,2026_rev_9,NA,NA,NA
29159020,rev_7,2026_rev_9,NA,NA,NA
29159050,rev_7,2026_rev_9,NA,NA,NA
29161930,rev_7,2026_rev_9,NA,NA,NA
29161950,rev_7,2026_rev_9,NA,NA,NA
29162050,rev_7,2026_rev_9,NA,NA,NA
29163150,rev_7,2026_rev_9,NA,NA,NA
29163946,rev_7,2026_rev_9,NA,NA,NA
29163979,rev_7,2026_rev_9,NA,NA,NA
29171300,rev_7,2026_rev_9,NA,NA,NA
29171910,rev_7,2026_rev_9,NA,NA,NA
29171970,rev_7,2026_rev_9,NA,NA,NA
29173401,rev_7,2026_rev_9,NA,NA,NA
29173930,rev_7,2026_rev_9,NA,NA,NA
29181151,rev_7,2026_rev_9,NA,NA,NA
29181350,rev_7,2026_rev_9,NA,NA,NA
29181650,rev_7,2026_rev_9,NA,NA,NA
29181960,rev_7,2026_rev_9,NA,NA,NA
29181990,rev_7,2026_rev_9,NA,NA,NA
29182210,rev_7,2026_rev_9,NA,NA,NA
29182250,rev_7,2026_rev_9,NA,NA,NA
29182330,rev_7,2026_rev_9,NA,NA,NA
29182350,rev_7,2026_rev_9,NA,NA,NA
29182920,rev_7,2026_rev_9,NA,NA,NA
29182965,rev_7,2026_rev_9,NA,NA,NA
29182975,rev_7,2026_rev_9,NA,NA,NA
29183025,rev_7,2026_rev_9,NA,NA,NA
29183030,rev_7,2026_rev_9,NA,NA,NA
29183090,rev_7,2026_rev_9,NA,NA,NA
29189930,rev_7,2026_rev_9,NA,NA,NA
