hts8,category,country_group,ch99_code,effective_date_start
29032200,pharma,eu,9903.02.77,2025-09-25
29032200,pharma,swiss,9903.02.86,2026-01-01
29034110,pharma,eu,9903.02.77,2025-09-25
29034110,pharma,swiss,9903.02.86,2026-01-01
29034210,pharma,eu,9903.02.77,2025-09-25
29034210,pharma,swiss,9903.02.86,2026-01-01
29034310,pharma,eu,9903.02.77,2025-09-25
29034310,pharma,swiss,9903.02.86,2026-01-01
29034410,pharma,eu,9903.02.77,2025-09-25
29034410,pharma,swiss,9903.02.86,2026-01-01
29034510,pharma,eu,9903.02.77,2025-09-25
29034510,pharma,swiss,9903.02.86,2026-01-01
29034610,pharma,eu,9903.02.77,2025-09-25
29034610,pharma,swiss,9903.02.86,2026-01-01
29034710,pharma,eu,9903.02.77,2025-09-25
29034710,pharma,swiss,9903.02.86,2026-01-01
29034800,pharma,eu,9903.02.77,2025-09-25
29034800,pharma,swiss,9903.02.86,2026-01-01
29034900,pharma,eu,9903.02.77,2025-09-25
29034900,pharma,swiss,9903.02.86,2026-01-01
29035110,pharma,eu,9903.02.77,2025-09-25
29035110,pharma,swiss,9903.02.86,2026-01-01
29035910,pharma,eu,9903.02.77,2025-09-25
29035910,pharma,swiss,9903.02.86,2026-01-01
29035990,pharma,eu,9903.02.77,2025-09-25
29035990,pharma,swiss,9903.02.86,2026-01-01
29036910,pharma,eu,9903.02.77,2025-09-25
29036910,pharma,swiss,9903.02.86,2026-01-01
29036990,pharma,eu,9903.02.77,2025-09-25
29036990,pharma,swiss,9903.02.86,2026-01-01
29037101,pharma,eu,9903.02.77,2025-09-25
29037101,pharma,swiss,9903.02.86,2026-01-01
29037700,pharma,eu,9903.02.77,2025-09-25
29037700,pharma,swiss,9903.02.86,2026-01-01
29037800,pharma,eu,9903.02.77,2025-09-25
29037800,pharma,swiss,9903.02.86,2026-01-01
29037990,pharma,eu,9903.02.77,2025-09-25
29037990,pharma,swiss,9903.02.86,2026-01-01
29038100,pharma,eu,9903.02.77,2025-09-25
29038100,pharma,swiss,9903.02.86,2026-01-01
29038915,pharma,eu,9903.02.77,2025-09-25
29038915,pharma,swiss,9903.02.86,2026-01-01
29038920,pharma,eu,9903.02.77,2025-09-25
29038920,pharma,swiss,9903.02.86,2026-01-01
29038970,pharma,eu,9903.02.77,2025-09-25
