hts10,effective_date_start,effective_date_end
1602502140,2025-11-13,NA
1602506000,2025-11-13,NA
1602509000,2025-11-13,NA
1602509020,2025-11-13,NA
1602509040,2025-11-13,NA
1801000000,2025-11-13,NA
1801000010,2025-11-13,NA
1801000090,2025-11-13,NA
1802000000,2025-11-13,NA
1803100000,2025-11-13,NA
1803200000,2025-11-13,NA
1804000000,2025-11-13,NA
1805000000,2025-11-13,NA
1903002000,2025-11-13,NA
1903004000,2025-11-13,NA
1905901000,NA,NA
1905901041,NA,NA
1905901049,NA,NA
1905901050,NA,NA
1905901070,NA,NA
1905901090,NA,NA
1905909000,NA,NA
1905909030,NA,NA
1905909060,NA,NA
1905909090,NA,NA
2001904500,2025-11-13,NA
2005916000,2025-11-13,NA
2006004000,2025-11-13,NA
2007994000,2025-11-13,NA
2007995000,2025-11-13,NA
2007995010,2025-11-13,NA
2007995020,2025-11-13,NA
2008191500,2025-11-13,NA
2008200000,2025-11-13,NA
2008200010,2025-11-13,NA
2008200090,2025-11-13,NA
2008910000,2025-11-13,NA
2008991300,2025-11-13,NA
2008991500,2025-11-13,NA
2008992100,NA,NA
2008992120,NA,NA
2008992140,NA,NA
2008994000,2025-11-13,NA
2008994500,2025-11-13,NA
2008999100,2025-11-13,NA
2008999110,2025-11-13,NA
2008999150,2025-11-13,NA
2008999155,2025-11-13,NA
2008999190,2025-11-13,NA
2008999195,2025-11-13,NA
2009110000,2025-11-13,NA
2009110020,2025-11-13,NA
2009110040,2025-11-13,NA
2009110060,2025-11-13,NA
2009122500,2025-11-13,NA
2009124500,2025-11-13,NA
2009190000,2025-11-13,NA
2009316000,NA,NA
2009316020,NA,NA
2009316040,NA,NA
2009316060,NA,NA
2009392000,2025-11-13,NA
2009494000,2025-11-13,NA
2009494020,2025-11-13,NA
2009494040,2025-11-13,NA
2009897000,NA,NA
2009897031,NA,NA
2009897055,NA,NA
2009897065,NA,NA
2009897070,NA,NA
2009897091,NA,NA
2009897095,NA,NA
2009897097,NA,NA
2009897099,NA,NA
2101112900,2025-11-13,NA
2101112941,2025-11-13,NA
2101112949,2025-11-13,NA
2101129000,2025-11-13,NA
2101202000,2025-11-13,NA
2101202010,2025-11-13,NA
2101202090,2025-11-13,NA
2106904800,2025-11-13,NA
2106909900,NA,NA
2106909971,NA,NA
2106909972,NA,NA
2106909973,NA,NA
2106909975,NA,NA
2106909980,NA,NA
2106909985,NA,NA
2106909987,NA,NA
2106909988,NA,NA
2106909990,NA,NA
2106909995,NA,NA
2106909997,NA,NA
2106909998,NA,NA
2202993000,2025-11-13,NA
2202993500,2025-11-13,NA
2504101000,2025-09-08,NA
2504105000,NA,NA
2504900000,NA,NA
2510100000,NA,NA
2510200000,NA,NA
2511101000,NA,NA
2511105000,NA,NA
2519100000,NA,NA
2519901000,NA,NA
2519902000,NA,NA
2524900000,NA,NA
2524900010,NA,NA
2524900030,NA,NA
2524900040,NA,NA
2524900045,NA,NA
2524900055,NA,NA
2524900060,NA,NA
2529210000,NA,NA
2529220000,NA,NA
2530201000,NA,NA
2530202000,NA,NA
2530901000,NA,NA
2530902000,NA,NA
2530908000,NA,NA
2530908010,NA,NA
2530908015,NA,NA
2530908050,NA,NA
2602000000,NA,NA
2602000040,NA,NA
2602000060,NA,NA
2603000000,NA,NA
2603000010,NA,NA
2603000020,NA,NA
2603000030,NA,NA
2603000040,NA,NA
2603000050,NA,NA
2604000000,2025-09-08,NA
2604000040,2025-09-08,NA
2604000080,2025-09-08,NA
2605000000,NA,NA
2606000000,NA,NA
2606000030,NA,NA
2606000060,NA,NA
2606000090,NA,NA
2608000000,NA,NA
2608000010,NA,NA
2608000020,NA,NA
2608000030,NA,NA
2608000040,NA,NA
2608000050,NA,NA
2609000000,2025-09-08,NA
2610000000,NA,NA
2610000020,NA,NA
2610000040,NA,NA
2610000060,NA,NA
2611003000,NA,NA
2611006000,NA,NA
