ch99_code,hts10,n_months,imports_usd,realized_vw,stat_other_vw,full_301_vw,claim_share_raw_vw,claim_share
9903.88.69,9027102000,6,17834074,0.3386467948938644,0.20053062531816773,0.25,0.44753532169721316,0.44753532169721316
9903.88.69,9004900010,7,17120343,0.2802438011901981,0.22417674787597217,0.15000000000000002,0.6262196445718271,0.6262196445718271
9903.88.69,3815190000,6,17111114,0.370054866094633,0.17687048364060481,0.25,0.2272624701838872,0.2272624701838872
9903.88.69,8421390190,6,17066203,0.4339821224439906,0.10175576373011005,0.25,-0.32890543485552237,0
9903.88.69,9018199530,6,16958825,0.210298944649762,0.18391832205917794,0.25,0.8944775096376637,0.8944775096376637
9903.88.69,7016100000,6,16526903,0.3899368804911604,0.21965331322136372,0.25,0.31886573092081333,0.31886573092081333
9903.88.69,9401919090,6,15795312,0.31166861407992447,0.19255305315846097,0.25,0.523537756314146,0.523537756314146
9903.88.69,8501514040,6,15584949,0.4150263821845038,0.3494478416613467,0.25,0.7376858379073716,0.7376858379073716
9903.88.69,8708407570,6,15462198,0.4885672140532672,0.32699051394944806,0.25,0.35369319958472323,0.35369319958472323
9903.88.69,3920620090,6,14269867,0.3962364890997232,0.23870384979761902,0.25,0.3698694427915831,0.3698694427915831
9903.88.69,6111206070,7,13257818,0.3698442684912404,0.30173197667069407,0.15,0.5459180545296911,0.5459180545296911
9903.88.69,5504100000,7,12812353,0.2742518099524732,0.2572955488492966,0.15,0.8869582593121563,0.8869582593121563
9903.88.69,9401790035,6,12697725,0.5467790490028726,0.20971155175323256,0.25,-0.3482699889985599,0
9903.88.69,7009100000,6,12412622,0.5490958316462066,0.37177766925185396,0.25,0.2907273504225894,0.2907273504225894
9903.88.69,3919102055,6,12187567,0.4703174965109935,0.25819168576429063,0.25,0.1514967570131884,0.1514967570131884
9903.88.69,9032100030,6,12085108,0.36112064534301225,0.11385467543711697,0.25,0.010936120376418971,0.010936120376418971
9903.88.69,8414308060,6,11558218,0.40445300477980256,0.09401826846120595,0.25,-0.24173894527438652,0
9903.88.69,8481909020,6,11135812,0.34847795562640604,0.19355480652416956,0.25,0.380307403591054,0.380307403591054
9903.88.69,6802990090,6,10790990,0.3909326206399969,0.235911106052456,0.25,0.37991394164983644,0.37991394164983644
9903.88.69,9404901090,7,10674028,0.3234669236393234,0.25972502536508424,0.15,0.575054011505072,0.575054011505072
9903.88.69,5603920070,6,10539071,0.24333843087308168,0.18637097651297008,0.25,0.7721301825595535,0.7721301825595535
9903.88.69,8436990090,6,10037999,0.18974249748381128,0.18776832654073977,0.25,0.992103316227714,0.992103316227714
9903.88.69,6505008015,6,9853890,0.37168965758700373,0.2704563114040194,0.25,0.5950666152680627,0.5950666152680627
9903.88.69,0304835015,6,9822757,0.11474548337091103,0.17180833884979932,0.25,1.2282514219155531,1
9903.88.69,9025198020,6,9538556,0.2281296036842474,0.09797635287473583,0.25,0.47938699676195373,0.47938699676195373
9903.88.69,9015808080,6,9395350,0.2432085020781557,0.2136158450469546,0.25,0.8816293718751956,0.8816293718751956
9903.88.69,0304835020,6,9332411,0.15710463244707076,0.2064841506965043,0.25,1.1975180729977342,1
9903.88.69,3913100000,7,9078579,0.2834034929915794,0.26138263418914853,0.15,0.8531942746504607,0.8531942746504607
9903.88.69,8504907500,6,8845479,0.512226754481018,0.2029132650193701,0.25,-0.23725395784659126,0
9903.88.69,8716400000,6,8238348,0.40713781452300873,0.18236766536088017,0.25,0.10091940335148566,0.10091940335148566
9903.88.69,8501106080,6,7513408,0.3896794903191734,0.21108622765108206,0.25,0.2856269493276345,0.2856269493276345
9903.88.69,0505100050,7,7091720,0.20428076686614813,0.2216424003391749,0.15,1.115744223153512,1
9903.88.69,0505100055,7,6565579,0.21188961400053216,0.20481336596876065,0.15,0.9528250131215233,0.9528250131215233
