country_name,cty_code,total_imports,pdr (Paddy Rice),wht (Wheat),gro (Cereal Grains Nec),"v_f (Vegetables, Fruit, Nuts)",osd (Oil Seeds),"c_b (Sugar Cane, Sugar Beet)",pfb (Plant-Based Fibers),ocr (Crops Nec),"ctl (Bovine Cattle, Sheep And Goats, Horses)",oap (Animal Products Nec),"wol (Wool, Silk-Worm Cocoons)",frs (Forestry),fsh (Fishing),coa (Coal),oil (Oil),gas (Gas),oxt (Other Mining And Extraction),cmt (Bovine Meat Products),omt (Meat Products Nec),vol (Vegetable Oils And Fats),mil (Dairy Products),pcr (Processed Rice),sgr (Sugar),ofd (Food Products Nec),b_t (Beverages And Tobacco Products),tex (Textiles),wap (Wearing Apparel),lea (Leather Products),lum (Wood Products),"ppp (Paper Products, Publishing)","p_c (Petroleum, Coal Products)",chm (Chemical Products),bph (Basic Pharmaceutical Products),rpp (Rubber And Plastic Products),nmm (Mineral Products Nec),i_s (Ferrous Metals),nfm (Metals Nec),fmp (Metal Products),"ele (Computer, Electronic And Optical Products)",eeq (Electrical Equipment),ome (Machinery And Equipment Nec),mvh (Motor Vehicles And Parts),otn (Transport Equipment Nec),omf (Manufactures Nec),ely (Electricity),s232_pharma_imports (131 HS codes)
Kenya,7790,701755871,0,0,289375,26527879,794116,0,0,69284673,0,2039304,5850,84977,977792,0,0,0,16602892,0,0,5726690,0,4479,0,13800134,241767,124007,533136797,602496,369559,127619,3388,8678908,167189,218208,679371,0,1255211,3186780,1191621,136947,1302444,800301,206770,13188327,0,17699
Burma (Myanmar),5460,667550609,0,0,0,2830051,0,0,0,721357,0,0,0,364650,0,0,0,0,0,0,0,0,0,58300,0,43653825,134330,19629842,264625563,189327196,1834730,366226,0,242428,5593,22887513,129797,0,2188116,560721,68041843,5367510,950911,481532,2509414,40639161,0,0
Haiti,2450,617119528,0,0,14504,26300,5000,0,0,1778402,0,4095,928,186584,216704,0,0,0,38456,0,0,987339,3550,321520,0,1329841,5936311,6995809,584271603,243938,34131,239427,0,5658465,0,300217,41910,0,1043132,449108,271917,897126,170417,10200,0,5642594,0,0
Latvia,4490,610748111,0,0,0,682550,0,0,1400521,100410,21124,154293,0,5287775,68331,0,0,0,16931127,0,0,11180,1335476,0,0,30714584,90837921,5682355,2624925,406342,147417566,3056403,157361,4228912,172215,1890135,27699536,2471176,2657119,15516144,98632968,34593942,58423728,7161498,761798,49648696,0,81150
Luxembourg,4239,561111704,0,0,0,0,0,0,0,0,294707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318162,287945,59468097,57295,39899,4778383,760636,0,33195029,6625,37561459,4879493,167078842,47201198,80079373,13754600,9310848,68646052,18434019,12790503,2168539,0,6625
Botswana,7930,494898404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62969641,0,0,0,0,0,0,0,2500,0,0,0,7040,23389,0,0,0,6670,55364,0,0,0,4120,175286,150478,170694,0,431333222,0,0
Bolivia,3350,484995952,0,0,32964718,43260052,2704556,0,0,5333639,0,4038383,0,0,0,0,0,0,37855180,343756,0,12933,0,0,8909811,5376749,223871,40587,5248277,533937,16423815,231509,0,17400279,0,11602,578319,0,284187054,24646,2587701,140639,886556,120595,21640,15535148,0,0
Ethiopia,7749,388591688,0,0,188678,934989,10133335,0,0,167157745,0,372103,0,770321,0,0,0,0,612236,0,0,23626430,0,0,0,10967538,306072,848969,164233332,2676069,38355,31459,0,69943,9087,289984,2012397,0,6009,8500,103374,844132,22153,0,6769,2321709,0,0
Panama,2250,381198059,0,0,0,21917448,0,0,0,6040883,44000,352179,0,3099,66808920,0,0,0,1767754,0,0,2593985,0,0,40681296,26780980,5407648,6586085,396250,3347250,1545710,1301091,394191,7368727,1350610,7626775,743986,393547,93550618,1554000,45689878,10960251,7529026,1653790,375122,16432960,0,1329400
Paraguay,3530,342632629,0,0,17220,167604,62391853,0,0,1413675,0,40669349,0,0,2321,0,0,0,0,72977250,0,2043510,0,16398,35879025,13069286,189310,665049,10644562,3955910,9464670,45950,0,28599816,0,85530,10872,4857360,41576377,46908,333418,11324034,277251,123171,255374,1529576,0,0
Jamaica,2410,339788352,0,0,2400,46803953,42101,0,55000,6651622,0,3200,0,19855,0,0,0,0,58684619,0,0,790551,6212203,0,3724761,92507003,42281832,266869,17619,5410,108557,30133,10894863,28142230,7730,1323753,3000,0,38184128,128153,1103390,1191910,278353,77599,21109,224446,0,7730
"Congo, Democratic Republic of the Congo (formerly Za",7660,321925869,0,0,0,12804,0,0,0,4851433,0,224637,0,0,54651,0,0,0,1144755,0,0,36327,0,0,0,7067430,24150,950,3000,500,5896536,7650,0,7240,18569,951237,67798,0,296255044,5587,48074,10020,163829,180584,8179,4884885,0,0
Namibia,7920,303576996,0,0,0,106050,0,0,0,34738,0,1427421,0,6614,53907,0,0,0,97579955,7830,0,0,0,0,0,2675658,14147,82997,20113,35712,19592,105082,0,3788270,0,32578,14402006,0,15239,36053,411350,370159,529327,322502,364947,181134749,0,0
Lesotho,7990,257699666,0,0,0,0,0,0,0,33415,0,0,0,0,0,0,0,0,51474665,0,0,0,0,0,0,792639,0,0,151369811,0,0,6304,0,0,0,0,0,0,0,0,0,1013826,0,0,0,53009006,0,0
Fiji,6863,252869525,0,0,0,2600059,0,3497,0,22268030,0,0,0,51154,7501261,0,0,0,0,0,0,81856,288209,0,10973443,57053256,141696772,223619,151993,52924,6858143,30098,0,1554909,6943,14271,0,0,0,142425,99842,2968,57270,31551,105396,1019636,0,0
Lebanon,5040,251831419,0,9000,0,228235,603509,0,0,2271751,0,48182,0,4116,0,0,0,0,3000,66077,0,17412605,70200,139935,1285158,37501234,7421872,327109,12019220,291940,1136324,1582380,0,65316966,9842,466764,2739656,12734,610657,3105358,8275558,2881239,6623192,293332,0,79074274,0,7714
Faroe Islands,4091,248858910,0,0,0,0,0,0,0,0,0,0,0,0,151060604,0,0,0,0,0,0,0,0,0,0,97097493,0,9410,2156,1374,0,51585,0,0,0,302547,0,0,0,0,128194,7901,80898,41500,0,75248,0,0
Liechtenstein,4411,235679383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55425,0,0,0,0,0,0,0,0,3262886,8338,2274,30623,34904,0,52161654,0,868071,8402562,80836,749333,69096039,23949606,4286341,14249076,11895898,0,46545517,0,0
Brunei,5610,230680267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52074,0,23324,4319606,9545,296881,82934,42917856,173948418,0,1814,3030,5346471,0,1702671,66710,131666,1636396,51508,15232,74131,0,0
Mauritius,7850,229190723,0,0,0,117438,0,0,0,311525,0,85533196,0,0,1114925,73080,0,0,2994,0,0,0,0,0,15273557,35734276,66986,52931,42445408,3207265,215620,486817,0,1460493,1919019,56768,32984,5806,34677,1147877,2953678,569961,93899,0,0,36279543,0,49345
Cameroon,7420,213060101,0,0,0,76632,0,0,0,207650,0,435038,0,9635,0,0,103535483,0,13359,0,0,28441,0,4475,0,58800651,970563,116636,65249,57959,34449366,32514,0,42437,390354,7054641,24075,0,67376,266649,3400404,169058,253101,47563,7098,2533694,0,6141
Mozambique,7870,212309306,0,0,0,343488,0,0,0,497984,0,0,0,2123,111394,0,0,0,57824853,0,0,0,0,0,24009269,1221808,4768034,18664,679,11484,167373,682787,0,262292,0,439,0,0,66765,1107909,336447,277580,232539,365608,0,119999787,0,0
Senegal,7440,202033560,0,0,228815,0,0,0,0,26383,0,1400,0,0,721333,0,43676370,0,27156728,0,0,8191,0,0,0,54053378,0,120166,1558381,266980,163047,28066,1837878,16422341,2300,6339,0,0,0,150451,216826,61353,210425,630283,6431,54479695,0,2300
Gabon,7550,198661592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92521638,0,60583008,0,0,0,0,0,0,11960,52254,0,7236,0,21117671,17553,19821716,1338111,0,284,7844,0,227605,103863,377092,15191,442251,18850,0,1997465,0,0
Malta,4730,194784891,0,0,0,62382,0,0,0,44623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177876,0,3154419,972014,21126,161196,2453219,0,2951813,11661774,15672137,440183,2083,615022,353173,111814220,20654919,18522223,516256,500404,4033829,0,5435203
Tanzania (United Republic of Tanzania),7830,194590714,0,0,0,2440674,102938,0,0,41917879,0,1813469,0,0,1009638,0,0,0,1333016,0,0,5688,0,37130,0,8205777,7906827,7548,79272031,7331,6535141,63683,0,1761608,0,15739,65383,0,4000,104243,27634,1686718,376089,23858,221000,39645672,0,0
Zambia,7940,174085306,0,0,0,0,28910,0,0,9153278,0,795631,0,0,0,0,0,0,9880069,0,0,616676,0,0,0,76750,1078260,21102,2493,26701,3108,7969,0,0,0,0,5000,1282360,26559809,0,23148,47645,273128,254105,0,123949164,0,0
Bosnia and Herzegovina,4793,173057277,0,0,0,20373,4058,0,0,32473,0,0,0,0,0,0,0,0,635645,0,0,0,148018,2088,26255,3074400,877671,1545292,11369742,15966958,1163917,1035397,0,11626475,0,939619,418861,191236,102063,65477304,411778,12798642,17033137,3560808,4330659,20264408,0,0
North Macedonia,4794,168877353,0,0,0,74949,0,0,0,20577406,0,122268,0,0,0,0,0,0,83752,0,0,24107,291501,32278,0,11861557,1633695,903965,3049282,97836,15677,156991,0,499976,0,1340276,876063,375177,0,6666250,7761108,19830633,6514096,70544900,170808,15372802,0,0
Georgia,4633,160915364,0,0,0,8033,0,0,0,182716,0,35779,0,228283,19904,0,0,0,4412,0,0,4320,325315,0,0,5833215,12704144,405031,5119745,386014,1934939,313268,0,15834156,309710,1658739,369391,99382042,19722,1000364,1426865,693814,3335582,7081032,254793,2044036,0,0
Uganda,7780,129336921,0,0,25938,461104,1078000,0,0,100371874,0,4900,0,0,69421,0,0,0,1931507,0,0,5366031,7321000,11242,0,10991893,56840,10374,2831,42369,260786,50730,0,237903,153106,7802,0,0,29000,2750,255431,33361,106093,0,0,454635,0,13948
Albania,4810,127037506,0,0,0,115486,0,0,0,19369387,0,24790,0,0,887568,0,0,0,36615,0,0,1243575,1182921,55953,0,2775243,755942,124062,11058824,3786182,154854,2748941,0,4446363,0,1006236,109794,64719108,106908,6067577,205206,1096503,202053,1109234,483718,3164463,0,0
Armenia,4631,125410329,0,31962,31321,56059,28968,0,0,92772,0,316724,0,0,77509,0,0,0,2123824,0,0,23051,1939251,9524,5371,6335370,9993899,187670,7759478,262207,387341,95860,0,999970,2637,291854,219129,0,2037827,214725,631967,161520,268230,14647,0,90809662,0,0
Equatorial Guinea,7380,123121001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,0,0,0,122837811,0,0,0,0,0,0,0,10000,0,0,80000,192542,0,0,0
Moldova (Republic of Moldova),4641,122643958,0,0,57616,290476,2263376,0,0,85045,0,148427,323,0,36586,0,0,0,2392,0,0,0,0,17427,44384,26265482,48375235,2255720,17329132,4682127,349859,1012063,0,5271993,40098,8780366,113973,0,0,1533515,82670,236403,740596,202013,0,2426661,0,0
Nepal,5360,117489012,0,0,23497,96044,14563,0,16219,718660,0,1597713,2003,3144,2146,0,0,0,0,0,0,4240,69817,2406,0,21822616,193228,65100840,11801301,2417280,906635,1325091,0,1335305,149467,99744,212042,0,0,682708,56370,61634,391572,68482,78670,8235575,0,149467
Azerbaijan,4632,92204941,0,0,0,84930,2294,0,0,10881,0,1804850,0,0,0,0,0,0,5015,37175,0,395296,0,0,2824,1210039,112989,38162,28915,0,926509,471530,0,2030893,0,110437,215055,4161884,60451159,10453826,196450,334643,5266795,3771,574514,3274105,0,0
